Economy,Country Code,Region,Income group (Country number),T1,T1_Q1,T1_Q2,T1_Q3,T1_Q4,T1_Q5,T1_Q6,T1_Q7,T1_Q8,T1_Q9,T1_Q10,T1_Q11,T2,T2_Q1,T2_Q2,T2_Q3,T2_Q4,T2_Q5,T3,T3_Q1,T3_Q2,T3_Q3,T3_Q4,T4,T4_Q1,T4_Q2,T4_Q3,T4_Q4,T4_Q5,T5,T5_Q1,T5_Q2,T5_Q3,T5_Q4,T6,T6_Q1,T6_Q2,T6_Q3,T6_Q4,T6_Q5,T6_Q6,T6_Q7,T6_Q8,T6_Q9,T6_Q10,T6_Q11,T6_Q12,T6_Q13,T6_Q14,T6_Q15,T6_Q16,T7,T7_Q1,T7_Q2,T7_Q3,T7_Q4,T7_Q5
"Bahamas, The",BHS,Latin America & Caribbean,High income (56),100,1,1,..,1,1,1,1,1,1,1,1,100,1,1,1,1,1,50,1,0,0,1,80,1,1,0,1,1,0,0,0,0,0,75,0.93,1,0.67,0.67,0,0,1,1,0,1,1,1,1,1,1,..,60,1,1,0,1,0
Bahrain,BHR,Middle East & North Africa,High income (56),45,0,0,1,1,0,0,1,1,1,0,0,40,1,0,1,0,0,25,0,0,0,1,40,0,0,0,1,1,25,1,0,0,0,41,0.61,1,0,0.02,0,0,1,1,0,1,0,0,0,0.5,0.5,1,20,1,0,0,0,0
Bangladesh,BGD,South Asia,Lower middle income (53),100,1,1,1,1,1,1,1,1,1,1,1,40,1,0,1,0,0,100,1,1,1,1,40,0,0,0,1,1,0,0,0,0,0,29,1,1,0,0,0,0,0,0,0,1,0,0,0,..,..,1,60,1,1,1,0,0
Barbados,BRB,Latin America & Caribbean,High income (56),91,1,0,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,0,1,1,80,1,1,0,1,1,0,0,0,0,0,66,0.86,1,1,1,0,0,0,1,0,1,1,1,0,1,1,..,20,1,0,0,0,0
Belarus,BLR,Europe & Central Asia,Upper middle income (51),100,1,1,..,1,1,1,1,1,1,1,1,100,1,1,1,1,1,50,1,0,1,0,80,1,1,0,1,1,0,0,0,0,0,68,1,1,1,1,1,1,1,1,0,1,0,0,0,0.5,..,..,20,1,0,0,0,0
Belgium,BEL,High income: OECD,High income (56),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,100,1,1,1,1,1,50,1,0,1,0,93,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,..,50,0.5,1,0,0,1
Belize,BLZ,Latin America & Caribbean,Upper middle income (51),90,1,0,..,1,1,1,1,1,1,1,1,100,1,1,1,1,1,50,1,0,0,1,40,0,0,0,1,1,0,0,0,0,0,64,1,1,1,1,0,0,0,1,0,1,1,0,1,1,..,..,80,1,1,1,0,1
Benin,BEN,Sub-Saharan Africa,Low income (29),73,1,0,0,1,1,0,1,1,1,1,1,80,1,0,1,1,1,25,1,0,0,0,60,1,1,0,0,1,0,0,0,0,0,60,1,1,0.5,0.52,0,1,1,1,0,1,0,0,0,1,1,..,80,1,1,1,1,0
Bhutan,BTN,South Asia,Lower middle income (53),91,1,1,1,1,1,1,1,0,1,1,1,80,1,0,1,1,1,25,1,0,0,0,60,1,0,1,1,0,25,0,1,0,0,59,0.57,1,0,0.09,0,1,1,1,0,1,1,1,0,..,..,..,80,1,1,0,1,1
Bolivia,BOL,Latin America & Caribbean,Lower middle income (53),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,50,1,1,0,0,80,1,1,0,1,1,100,1,1,1,1,60,0.92,1,1,1,0,1,0,1,0,0,0,1,1,0.5,..,..,80,1,1,1,1,0
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income (51),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,80,1,1,0,1,1,100,1,1,1,1,79,1,0.9,1,1,0,1,1,1,1,0,1,0,1,1,..,1,100,1,1,1,1,1
Botswana,BWA,Sub-Saharan Africa,Upper middle income (51),91,1,0,1,1,1,1,1,1,1,1,1,60,1,0,1,0,1,75,1,0,1,1,20,0,0,0,1,0,50,1,1,0,0,47,0.86,0.75,0,0,0,0,0,0,0,1,1,1,1,1,..,..,20,1,0,0,0,0
Brazil,BRA,Latin America & Caribbean,Upper middle income (51),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,0,1,1,100,1,1,1,1,1,50,1,1,0,0,64,1,1,1,1,0,0,1,1,0,1,1,1,0,0.5,0.5,0.17,80,1,1,0,1,1
Brunei Darussalam,BRN,East Asia & Pacific,High income (56),73,0,1,1,1,0,0,1,1,1,1,1,60,1,1,1,0,0,25,0,0,0,1,20,0,0,0,0,1,25,0,1,0,0,55,0.93,1,0.4,0.4,0,0,0,0,0,1,1,1,1,1,..,..,20,1,0,0,0,0
Bulgaria,BGR,Europe & Central Asia,Upper middle income (51),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,1,1,0,80,1,1,0,1,1,50,0,0,1,1,91,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.7,..,80,1,1,1,0,1
Burkina Faso,BFA,Sub-Saharan Africa,Low income (29),91,1,1,1,1,1,0,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,60,1,1,0,0,1,0,0,0,0,0,57,1,1,1,1,0,0,1,1,0,1,0,0,0,1,..,..,40,0,1,0,1,0
Burundi,BDI,Sub-Saharan Africa,Low income (29),91,1,1,1,1,1,1,1,1,1,1,0,100,1,1,1,..,..,75,1,1,0,1,40,0,1,0,1,0,0,0,0,0,0,73,0.86,1,0.5,0.52,0,0,1,1,0,1,1,1,1,1,..,1,80,1,1,0,1,1
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income (53),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,50,1,0,0,1,60,0,1,0,1,1,50,0,0,1,1,71,0.61,1,0.9,0.9,0,0,1,1,0,1,1,1,1,0.5,..,..,60,1,1,0,1,0
Cambodia,KHM,East Asia & Pacific,Lower middle income (53),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,1,1,0,80,1,1,0,1,1,50,0,0,1,1,62,0.92,0.75,0,0,0,0,1,1,0,1,1,1,1,1,..,..,60,1,1,0,1,0
Cameroon,CMR,Sub-Saharan Africa,Lower middle income (53),55,1,0,0,1,1,0,1,1,1,0,0,60,0,1,0,1,1,100,1,1,1,1,80,1,1,0,1,1,0,0,0,0,0,53,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,..,60,0,1,1,1,0
Canada,CAN,High income: OECD,High income (56),100,1,1,..,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,92,1,0.82,1,1,1,1,1,1,0,1,1,1,1,1,1,..,70,0.5,1,0,1,1
Central African Republic,CAF,Sub-Saharan Africa,Low income (29),82,1,1,1,1,1,0,1,1,1,1,0,100,1,1,1,1,1,25,1,0,0,0,60,1,0,0,1,1,0,0,0,0,0,45,1,0.75,1,1,0,0,0,0,0,1,0,0,0,1,..,1,60,1,1,0,1,0
Chad,TCD,Sub-Saharan Africa,Low income (29),64,1,1,1,1,1,0,1,1,0,0,0,60,0,1,0,1,1,75,1,0,1,1,80,1,1,0,1,1,0,0,0,0,0,65,1,0.75,1,1,0,1,1,1,0,1,0,0,0,1,1,..,50,0.5,1,0,1,0
Chile,CHL,High income: OECD,High income (56),91,1,1,1,1,1,1,1,1,1,1,0,60,0,1,0,1,1,75,1,0,1,1,100,1,1,1,1,1,25,1,0,0,0,75,1,1,1,1,1,0,1,1,0,1,1,1,0,0.5,..,..,40,1,1,0,0,0
China,CHN,East Asia & Pacific,Upper middle income (51),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,0,1,1,60,0,1,0,1,1,25,0,1,0,0,50,1,1,1,1,0,0,1,1,0,1,0,0,0,0,..,..,80,1,1,0,1,1
Colombia,COL,Latin America & Caribbean,Upper middle income (51),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,50,1,0,0,1,80,1,1,0,1,1,50,1,1,0,0,68,1,1,1,1,0,0,1,1,0,1,1,1,0,0.5,..,..,80,1,1,0,1,1
Comoros,COM,Sub-Saharan Africa,Low income (29),73,1,1,1,1,1,0,1,1,1,0,0,40,1,0,1,0,0,50,1,1,0,0,60,1,0,0,1,1,0,0,0,0,0,69,1,1,0,0,0,1,1,1,0,1,1,1,1,..,..,..,60,1,1,0,0,1
"Congo, Dem. Rep.",ZAR,Sub-Saharan Africa,Low income (29),90,1,1,..,1,1,1,1,1,1,1,0,60,0,1,0,1,1,50,1,0,0,1,40,0,1,0,0,1,25,0,0,1,0,54,1,1,0,0.02,0,0,1,1,0,1,0,1,1,0.5,..,..,40,0,1,0,1,0
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income (53),64,1,0,0,1,1,0,1,1,1,1,0,60,0,1,0,1,1,25,1,0,0,0,40,1,0,0,0,1,0,0,0,0,0,40,1,1,0.5,0.5,0,0,0,0,0,1,0,0,0,1,..,1,0,0,0,0,0,0
Costa Rica,CRI,Latin America & Caribbean,Upper middle income (51),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,60,0,1,0,1,1,25,0,1,0,0,59,1,1,0.5,0.5,0,0,1,1,0,0,0,1,1,1,0.8,..,100,1,1,1,1,1
Côte d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income (53),100,1,1,1,1,1,1,1,1,1,1,1,60,0,1,0,1,1,100,1,1,1,1,80,1,1,0,1,1,0,0,0,0,0,80,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,..,40,0,1,0,1,0
Croatia,HRV,Europe & Central Asia,Upper middle income (51),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,80,1,1,0,1,1,50,0,0,1,1,93,1,1,1,1,1,1,1,1,0,1,1,1,1,1,..,..,100,1,1,1,1,1
Cyprus,CYP,Europe & Central Asia,High income (56),91,1,0,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,80,1,1,0,1,1,25,0,0,1,0,80,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,..,80,1,1,0,1,1
Czech Republic,CZE,High income: OECD,High income (56),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,1,1,0,100,1,1,1,1,1,25,0,0,1,0,93,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,..,80,1,1,1,0,1
Denmark,DNK,High income: OECD,High income (56),100,1,1,..,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,80,1,1,0,1,1,75,1,1,1,0,91,1,0.75,1,1,1,1,1,1,0,1,1,1,1,1,..,..,80,1,1,0,1,1
Djibouti,DJI,Middle East & North Africa,Lower middle income (53),82,0,1,1,1,1,1,1,1,1,1,0,40,1,0,1,0,0,75,1,1,1,0,80,1,1,0,1,1,50,0,0,1,1,75,1,1,0.5,0.52,0,1,1,1,0,1,1,1,1,0.5,..,..,10,0.5,0,0,0,0
Dominica,DMA,Latin America & Caribbean,Upper middle income (51),90,1,0,..,1,1,1,1,1,1,1,1,100,1,1,1,1,1,50,1,0,0,1,80,1,1,0,1,1,0,0,0,0,0,46,0.86,1,0.8,0.8,0,0,0,0,0,1,1,0,0,1,..,..,20,1,0,0,0,0
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income (51),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,50,1,0,0,1,100,1,1,1,1,1,75,1,1,1,0,73,1,1,0.5,0.51,0,0,1,1,0,1,1,1,1,1,1,..,100,1,1,1,1,1
Ecuador,ECU,Latin America & Caribbean,Upper middle income (51),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,50,1,1,0,0,80,0,1,1,1,1,50,1,1,0,0,74,0.86,1,0.75,0.78,0,1,1,1,0,1,1,1,0,1,..,..,100,1,1,1,1,1
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income (53),64,0,0,0,1,0,1,1,1,1,1,1,40,1,0,1,0,0,75,1,1,0,1,60,0,1,0,1,1,25,1,0,0,0,59,0.92,1,0.75,0.75,0,0,1,1,0,1,0,0,0,1,1,1,60,0,1,1,1,0
El Salvador,SLV,Latin America & Caribbean,Lower middle income (53),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,100,1,1,1,1,1,75,1,1,1,0,75,1,1,1,1,0,0,1,1,0,1,1,1,1,0.5,..,..,80,1,1,1,1,0
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income (51),73,0,1,1,1,1,0,0,1,1,1,1,60,0,1,0,1,1,25,1,0,0,0,80,1,1,0,1,1,0,0,0,0,0,78,0.86,1,1,1,0,1,1,1,0,1,1,1,0,1,..,..,0,0,0,0,0,0
Eritrea,ERI,Sub-Saharan Africa,Low income (29),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,25,1,0,0,0,60,1,0,0,1,1,0,0,0,0,0,59,0.61,1,0,0,0,0,1,1,0,1,1,1,1,..,..,..,60,0,1,1,1,0
Estonia,EST,High income: OECD,High income (56),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,0,1,1,80,1,1,0,1,1,75,1,1,1,0,93,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,..,70,0.5,1,1,0,1
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income (53),100,1,1,1,1,1,1,1,1,1,1,1,75,1,1,1,0,..,75,1,1,0,1,40,1,0,0,1,0,50,1,1,0,0,51,0.14,1,0,0,0,0,1,1,0,1,1,0,1,1,..,..,0,0,0,0,0,0
Ethiopia,ETH,Sub-Saharan Africa,Low income (29),100,1,1,..,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,20,0,0,0,1,0,0,0,0,0,0,46,0.92,1,0,0,0,0,1,1,0,1,0,0,0,1,1,..,80,1,1,1,1,0
Fiji,FJI,East Asia & Pacific,Upper middle income (51),90,1,0,..,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,60,1,1,0,1,0,0,0,0,0,0,56,0.86,1,0,0,0,0,1,1,0,1,1,0,1,1,..,..,80,1,1,1,0,1
Finland,FIN,High income: OECD,High income (56),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,1,1,0,80,1,1,0,1,1,25,0,0,1,0,97,1,1,0.7,0.86,1,1,1,1,1,1,1,1,1,1,1,..,100,1,1,1,1,1
France,FRA,High income: OECD,High income (56),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,100,1,1,1,1,1,50,0,0,1,1,88,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,60,1,1,0,1,0
Gabon,GAB,Sub-Saharan Africa,Upper middle income (51),55,0,0,1,1,1,0,1,1,1,0,0,60,0,1,0,1,1,50,1,0,1,0,80,1,1,0,1,1,0,0,0,0,0,73,1,1,1,1,0,0,1,1,0,1,1,0,1,1,..,1,0,0,0,0,0,0
"Gambia, The",GMB,Sub-Saharan Africa,Low income (29),100,1,1,1,1,1,1,1,1,1,1,1,60,1,1,1,0,0,75,1,0,1,1,60,1,0,0,1,1,0,0,0,0,0,67,1,1,0,0.06,0,0,1,1,0,1,1,1,1,1,1,..,40,1,0,1,0,0
Georgia,GEO,Europe & Central Asia,Lower middle income (53),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,60,0,1,0,1,1,25,0,1,0,0,75,1,1,1,1,0,0,1,1,0,1,1,1,1,0.5,..,..,40,1,1,0,0,0
Germany,DEU,High income: OECD,High income (56),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,80,0,1,1,1,1,75,1,1,1,0,85,1,1,0.25,0.53,1,0,1,1,1,1,1,1,1,1,1,..,60,1,1,0,0,1
Ghana,GHA,Sub-Saharan Africa,Lower middle income (53),100,1,1,1,1,1,1,1,1,1,1,1,80,1,0,1,1,1,75,1,1,1,0,60,0,1,0,1,1,0,0,0,0,0,59,0.86,1,0,0,0,0,1,1,0,1,1,0,1,1,1,..,60,1,1,0,0,1
Greece,GRC,High income: OECD,High income (56),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,0,1,1,80,1,1,0,1,1,25,0,0,1,0,93,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,..,80,1,1,0,1,1
Grenada,GRD,Latin America & Caribbean,Upper middle income (51),90,1,0,..,1,1,1,1,1,1,1,1,80,1,0,1,1,1,75,1,1,0,1,60,0,1,0,1,1,0,0,0,0,0,81,0.92,1,0.74,0.74,0,1,1,1,0,1,1,1,1,1,..,..,20,1,0,0,0,0
Guatemala,GTM,Latin America & Caribbean,Lower middle income (53),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,80,1,1,0,1,1,50,1,1,0,0,63,0.86,1,1,1,0,0,0,1,0,1,0,1,1,1,..,..,20,1,0,0,0,0
Guinea,GIN,Sub-Saharan Africa,Low income (29),73,1,1,1,1,1,0,1,1,1,0,0,60,1,0,1,1,0,50,1,0,1,0,20,1,0,0,0,0,50,0,0,1,1,64,1,1,0.5,0.5,0,1,1,1,0,1,1,0,0,1,..,..,40,0,1,0,1,0
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income (29),55,1,1,1,1,1,0,1,0,0,0,0,60,0,1,0,1,1,75,1,0,1,1,0,0,0,0,..,0,0,0,0,0,0,43,0.61,1,1,1,0,0,1,0,0,0,0,0,1,..,..,..,20,1,0,0,0,0
Guyana,GUY,Latin America & Caribbean,Upper middle income (51),91,1,0,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,50,1,0,0,1,60,0,1,0,1,1,100,1,1,1,1,78,0.93,1,1,1,0,1,1,1,0,1,1,1,0,1,..,..,80,1,1,0,1,1
Haiti,HTI,Latin America & Caribbean,Low income (29),82,1,0,1,1,1,0,1,1,1,1,1,80,1,1,0,1,1,50,1,0,0,1,60,1,0,0,1,1,0,0,0,0,0,63,0.43,1,0,0,0,0,1,1,0,1,1,1,1,1,1,..,0,0,0,0,0,0
Honduras,HND,Latin America & Caribbean,Lower middle income (53),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,80,1,1,0,1,1,75,1,1,1,0,62,0.86,1,0.67,0.67,0,0,1,1,0,1,0,1,1,0.5,..,..,100,1,1,1,1,1
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income (56),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,40,0,0,0,1,1,50,0,0,1,1,65,0.71,1,0,0.04,0,0,1,1,0,1,1,1,1,1,1,..,80,1,1,1,0,1
Hungary,HUN,High income: OECD,High income (56),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,1,1,0,80,1,1,0,1,1,50,0,0,1,1,87,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,..,60,1,1,1,0,0
Iceland,ISL,High income: OECD,High income (56),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,1,1,0,80,1,1,0,1,1,75,1,1,1,0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,..,100,1,1,1,1,1
India,IND,South Asia,Lower middle income (53),100,1,1,..,1,1,1,1,1,1,1,1,80,1,0,1,1,1,100,1,1,1,1,40,0,0,0,1,1,0,0,0,0,0,40,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,..,100,1,1,1,1,1
Indonesia,IDN,East Asia & Pacific,Lower middle income (53),91,1,1,1,1,1,1,1,1,1,1,0,60,1,1,1,0,0,75,1,0,1,1,20,0,0,0,0,1,0,0,0,0,0,64,0.92,1,0,0.02,0,0,1,1,0,1,1,1,1,1,..,..,20,1,0,0,0,0
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income (51),36,0,0,1,0,0,0,1,1,1,0,0,40,1,0,1,0,0,0,0,0,0,0,80,1,1,0,1,1,25,1,0,0,0,43,1,1,1,1,0,0,0,0,0,1,0,1,0,0.5,0,..,0,0,0,0,0,0
Iraq,IRQ,Middle East & North Africa,Upper middle income (51),55,0,1,1,0,0,0,1,1,1,1,0,40,1,0,1,0,0,0,0,0,0,0,60,1,1,0,0,1,0,0,0,0,0,38,1,1,0,0,0,0,1,0,0,0,0,1,1,0.5,..,0.17,40,0,1,0,1,0
Ireland,IRL,High income: OECD,High income (56),100,1,1,..,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,0,1,1,80,1,1,0,1,1,50,0,0,1,1,85,1,0.88,1,1,0,1,1,1,0,1,1,1,1,1,..,..,100,1,1,1,1,1
Israel,ISR,High income: OECD,High income (56),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,0,1,1,60,0,1,0,1,1,25,0,1,0,0,72,1,1,1,1,0,1,1,1,0,1,0,1,0,0.5,1,1,100,1,1,1,1,1
Italy,ITA,High income: OECD,High income (56),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,0,1,1,100,1,1,1,1,1,25,0,0,1,0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,..,..,60,1,1,0,0,1
Jamaica,JAM,Latin America & Caribbean,Upper middle income (51),100,1,1,..,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,0,1,1,80,1,1,0,1,1,0,0,0,0,0,47,0.57,1,0,0,0,0,0,1,0,1,1,0,1,1,..,..,20,1,0,0,0,0
Japan,JPN,High income: OECD,High income (56),100,1,1,..,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,0,1,1,60,0,1,0,1,1,25,1,0,0,0,87,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,..,20,1,0,0,0,0
Jordan,JOR,Middle East & North Africa,Lower middle income (53),45,0,0,1,1,0,0,1,1,1,0,0,40,1,0,1,0,0,50,0,1,0,1,80,1,1,0,1,1,0,0,0,0,0,48,0.71,1,1,1,0,0,0,0,1,0,1,0,0,0.5,1,..,20,1,0,0,0,0
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income (51),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,0,1,1,80,1,1,0,1,1,0,0,0,0,0,71,1,1,1,1,1,0,1,1,1,1,0,0,0,1,..,..,20,1,0,0,0,0
Kenya,KEN,Sub-Saharan Africa,Lower middle income (53),100,1,1,1,1,1,1,1,1,1,1,1,80,1,1,1,1,0,100,1,1,1,1,80,1,1,0,1,1,25,0,1,0,0,74,0.92,1,0,0.11,0,1,1,1,0,1,1,1,1,1,1,..,80,1,1,1,1,0
Kiribati,KIR,East Asia & Pacific,Lower middle income (53),100,1,1,..,1,1,1,1,1,1,1,1,75,1,0,..,1,1,50,1,0,0,1,60,1,0,0,1,1,0,0,0,0,0,68,0.86,0.37,0,0,0,1,1,1,0,1,1,1,1,1,1,..,20,1,0,0,0,0
"Korea, Rep.",KOR,High income: OECD,High income (56),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,100,1,1,1,1,1,25,1,0,0,0,71,1,1,0.33,0.35,1,0,1,1,1,1,0,0,1,1,1,..,100,1,1,1,1,1
Kosovo,KSV,Europe & Central Asia,Lower middle income (53),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,80,1,1,0,1,1,50,0,0,1,1,77,1,1,0.24,0.25,0,1,1,1,0,1,1,1,1,1,1,..,100,1,1,1,1,1
Kuwait,KWT,Middle East & North Africa,High income (56),73,1,1,1,1,0,0,1,1,1,0,1,40,1,0,1,0,0,25,0,0,0,1,60,0,1,0,1,1,25,1,0,0,0,13,0.71,1,0,0,0,0,0,0,0,0,0,0,0,..,..,..,0,0,0,0,0,0
